"i","choice","formal","wage","labor_taxes","voluntary_saving","consumption_young","consumption_old","decision_utility","experienced_utility","funded_contribution","funded_public_contribution","payg_contribution","payg_notional_contribution","funded_benefit","payg_benefit","eligibility_probability","eligible_payg_benefit","refund_benefit","utility_informal","utility_capitalization","utility_payg","utility_difference_formal_informal","utility_difference_payg_capitalization"
0.146,"informal",FALSE,0.150058933473063,0,0.0112609452741085,0.114410380525815,0.14633269833102,-17.9999339730842,-19.8407150385973,0,0,0,0,0,0,0,0,0,-17.9999339730842,-41.8919186434348,-47.8132992962215,-23.8919846703505,-5.92138065278672
0.148,"informal",FALSE,0.150931804165268,0,0.0113264485325204,0.115075888841339,0.147183894062778,-17.8440137838071,-19.6688495168216,0,0,0,0,0,0,0,0,0,-17.8440137838071,-41.3128229923925,-47.1519188617461,-23.4688092085854,-5.83909586935358
0.15,"informal",FALSE,0.151809752217598,0,0.011392332813729,0.115745268320616,0.148040041074612,-17.6894442164523,-19.4984727396561,0,0,0,0,0,0,0,0,0,-17.6894442164523,-40.7417325075951,-46.4996741325768,-23.0522882911428,-5.75794162498178
0.152,"informal",FALSE,0.15269280716431,0,0.0114586003340879,0.116418541481635,0.148901168167389,-17.5362135715754,-19.3295718112011,0,0,0,0,0,0,0,0,0,-17.5362135715754,-40.1785365291084,-45.8564387104081,-22.6423229575329,-5.67790218129971
0.154,"informal",FALSE,0.153580998711454,0,0.0115252533228425,0.117095730973367,0.149767304309505,-17.3843102510759,-19.1621339472648,0,0,0,0,0,0,0,0,0,-17.3843102510759,-39.623125926713,-45.2220879425171,-22.2388156756371,-5.59896201580417
0.156,"informal",FALSE,0.154474356737878,0,0.0115922940222058,0.117776859576532,0.150638478637862,-17.2337227573188,-18.9961464743952,0,0,0,0,0,0,0,0,0,-17.2337227573188,-39.0753930787582,-44.5964988976115,-21.8416703214394,-5.5211058188533
0.158,"informal",FALSE,0.155372911296231,0,0.0116597246874333,0.118461950204361,0.151514720458846,-17.0844396922648,-18.8315968289214,0,0,0,0,0,0,0,0,0,-17.0844396922648,-38.5352318513081,-43.9795503420091,-21.4507921590433,-5.44431849070095
0.16,"informal",FALSE,0.156276692613971,0,0.0117275475868987,0.119151025903365,0.152396059249314,-16.9364497566076,-18.668472556002,0,0,0,0,0,0,0,0,0,-16.9364497566076,-38.0025375775763,-43.3711227161482,-21.0660878209687,-5.36858513857197
0.162,"informal",FALSE,0.157185731094389,0,0.011795765002171,0.119844109854118,0.153282524657588,-16.7897417489181,-18.506761308683,0,0,0,0,0,0,0,0,0,-16.7897417489181,-37.4772070376442,-42.7710981114219,-20.6874652887261,-5.29389107377764
0.164,"informal",FALSE,0.158100057317624,0,0.0118643792280903,0.120541225372028,0.154174146504446,-16.6443045647974,-18.3464508469629,0,0,0,0,0,0,0,0,0,-16.6443045647974,-36.9591384384608,-42.1793602473317,-20.3148338736634,-5.22022180887091
0.166,"informal",FALSE,0.159019702041697,0,0.0119333925728457,0.121242395908126,0.155070954784132,-16.5001271960353,-18.1875290368663,0,0,0,0,0,0,0,0,0,-16.5001271960353,-36.4482313941176,-41.5957944489585,-19.9481041980823,-5.14756305484087
0.168,"informal",FALSE,0.159944696203543,0,0.0120028073580527,0.121947645049857,0.15597297966536,-16.3571987297782,-18.0299838495256,0,0,0,0,0,0,0,0,0,-16.3571987297782,-35.9443869063975,-41.0202876247433,-19.5871881766193,-5.07590071834579
0.17,"informal",FALSE,0.160875070920052,0,0.012072625918831,0.122656996521868,0.156880251492334,-16.2155083477021,-17.8738033602701,0,0,0,0,0,0,0,0,0,-16.2155083477021,-35.4475073455914,-40.4527282445757,-19.2319989978892,-5.00522089898431
0.172,"informal",FALSE,0.161810857489119,0,0.0121428506038838,0.123370474186808,0.157792800785762,-16.0750453251944,-17.7189757477243,0,0,0,0,0,0,0,0,0,-16.0750453251944,-34.957496431581,-39.8930063181853,-18.8824511063865,-4.93550988660436
0.174,"informal",FALSE,0.16275208739069,0,0.012213483775576,0.124088102046135,0.158710658243889,-15.9357990305419,-17.5654892929121,0,0,0,0,0,0,0,0,0,-15.9357990305419,-34.4742592151823,-39.3410133738313,-18.5384601846404,-4.86675415864904
0.176,"informal",FALSE,0.16369879228783,0,0.0122845278100142,0.124809904240916,0.159633854743526,-15.7977589241259,-17.4133323783706,0,0,0,0,0,0,0,0,0,-15.7977589241259,-33.9977020597476,-38.7966424372867,-18.1999431356217,-4.79894037753913
0.178,"informal",FALSE,0.16465100402778,0,0.0123559850971265,0.125535905052647,0.160562421341091,-15.6609145576251,-17.2624934872701,0,0,0,0,0,0,0,0,0,-15.6609145576251,-33.5277326230215,-38.2597880111134,-17.8668180653964,-4.73205538809187
0.18,"informal",FALSE,0.165608754643033,0,0.0124278580407426,0.126266128904061,0.161496389273652,-15.5252555732239,-17.1129612025431,0,0,0,0,0,0,0,0,0,-15.5252555732239,-33.0642598392477,-37.7303460542228,-17.5390042660238,-4.66608621497511
0.182,"informal",FALSE,0.166572076352409,0,0.0125001490586752,0.12700060035996,0.162435789959978,-15.390771702829,-16.9647242060196,0,0,0,0,0,0,0,0,0,-15.390771702829,-32.6071939015232,-37.2082139617201,-17.2164221986942,-4.60102006019691
0.184,"informal",FALSE,0.167541001562142,0,0.0125728605828009,0.127739344128031,0.163380655001596,-15.2574527672921,-16.8177712775704,0,0,0,0,0,0,0,0,0,-15.2574527672921,-32.1564462443967,-36.6932905450262,-16.8989934771046,-4.53684430062955
0.186,"informal",FALSE,0.168515562866968,0,0.0126459950591424,0.128482385059685,0.164331016183856,-15.1252886756393,-16.6720912942583,0,0,0,0,0,0,0,0,0,-15.1252886756393,-31.7119295267069,-36.1854760122748,-16.5866408510677,-4.47354648556792
0.188,"informal",FALSE,0.169495793051221,0,0.0127195549479502,0.129229748150889,0.165286905476998,-14.9942694243074,-16.5276732294957,0,0,0,0,0,0,0,0,0,-14.9942694243074,-31.2735576146591,-35.6846719489807,-16.2792881903517,-4.41111433432156
0.19,"informal",FALSE,0.170481725089935,0,0.0127935427237859,0.129981458543008,0.166248355037227,-14.8643850963867,-16.3845061522105,0,0,0,0,0,0,0,0,0,-14.8643850963867,-30.8412455651343,-35.1907812989746,-15.9768604687476,-4.34953573384023
0.192,"informal",FALSE,0.171473392149959,0,0.0128679608756054,0.13073754152365,0.167215397207798,-14.7356258608705,-16.2425792260182,0,0,0,0,0,0,0,0,0,-14.7356258608705,-30.4149096092305,-34.7037083456025,-15.6792837483599,-4.28879873637201
0.194,"informal",FALSE,0.172470827591066,0,0.0129428119068422,0.131498022527518,0.168188064520099,-14.6079819719107,-16.1018817084019,0,0,0,0,0,0,0,0,0,-14.6079819719107,-29.9944671360302,-34.2233586931844,-15.3864851641195,-4.22889155715418
0.196,"informal",FALSE,0.173474064967077,0,0.0130180983354922,0.132262927137264,0.169166389694752,-14.4814437680805,-15.9624029498995,0,0,0,0,0,0,0,0,0,-14.4814437680805,-29.5798366765937,-33.7496392487296,-15.0983929085132,-4.1698025721359
0.198,"informal",FALSE,0.174483138026993,0,0.0130938226941978,0.133032281084352,0.170150405642708,-14.3560016716427,-15.824132393297,0,0,0,0,0,0,0,0,0,-14.3560016716427,-29.1709378881721,-33.2824582039047,-14.8149362165294,-4.11152031573253
0.2,"informal",FALSE,0.175498080716127,0,0.0131699875303336,0.133806110249922,0.171140145466355,-14.2316461878253,-15.6870595728301,0,0,0,0,0,0,0,0,0,-14.2316461878253,-28.7676915386399,-32.8217250172511,-14.5360453508147,-4.05403347861119
0.202,"informal",FALSE,0.176518927177247,0,0.0132465954060919,0.134584440665659,0.172135642460635,-14.1083679041022,-15.5511741133915,0,0,0,0,0,0,0,0,0,-14.1083679041022,-28.370019491142,-32.367350396649,-14.2616515870398,-3.99733090550702
